"activity","subject_id","domain","average_mean","average_std_dev"
"LAYING",1,"fBodyAcc",-0.896277044593333,-0.856984850046667
"LAYING",1,"fBodyAccJerk",-0.942532465933333,-0.9523218554
"LAYING",1,"fBodyAccMag",-0.8617676481,-0.7983009404
"LAYING",1,"fBodyBodyAccJerkMag",-0.9333003608,-0.9218039756
"LAYING",1,"fBodyBodyGyroJerkMag",-0.9423669466,-0.9326606676
"LAYING",1,"fBodyBodyGyroMag",-0.8621901854,-0.82431943968
"LAYING",1,"fBodyGyro",-0.903914463462,-0.916703669466667
"LAYING",1,"tBodyAcc",0.0226269123102,-0.863648425482667
"LAYING",1,"tBodyAccJerk",0.0319196581899333,-0.945828832133333
"LAYING",1,"tBodyAccJerkMag",-0.9543962646,-0.9282456284
"LAYING",1,"tBodyAccMag",-0.8419291525,-0.79514486386
"LAYING",1,"tBodyGyro",0.0225500727313333,-0.910972990206667
"LAYING",1,"tBodyGyroJerk",-0.074279452394,-0.948101974666667
"LAYING",1,"tBodyGyroJerkMag",-0.96346103,-0.9358409828
"LAYING",1,"tBodyGyroMag",-0.874759548,-0.81901016976
"LAYING",1,"tGravityAcc",0.300828564993333,-0.885638771793333
"LAYING",1,"tGravityAccMag",-0.8419291525,-0.79514486386
"LAYING",2,"fBodyAcc",-0.980302306527778,-0.979687924236111
"LAYING",2,"fBodyAccJerk",-0.984926338611111,-0.987194339097222
"LAYING",2,"fBodyAccMag",-0.975110196458333,-0.975121387916667
"LAYING",2,"fBodyBodyAccJerkMag",-0.985374114791667,-0.984568489166667
"LAYING",2,"fBodyBodyGyroJerkMag",-0.990248702291667,-0.989492660416667
"LAYING",2,"fBodyBodyGyroMag",-0.972112972708333,-0.96109837875
"LAYING",2,"fBodyGyro",-0.977474888472222,-0.977981841527778
"LAYING",2,"tBodyAcc",0.0519896845944444,-0.979523386805556
"LAYING",2,"tBodyAccJerk",0.0310164635540972,-0.985828908125
"LAYING",2,"tBodyAccJerkMag",-0.987741696041667,-0.98551807625
"LAYING",2,"tBodyAccMag",-0.977435485208333,-0.972873912916667
"LAYING",2,"tBodyGyro",0.00486847159027778,-0.976957800763889
"LAYING",2,"tBodyGyroJerk",-0.0693371513,-0.990279736111111
"LAYING",2,"tBodyGyroJerkMag",-0.991767074166667,-0.989718095208333
"LAYING",2,"tBodyGyroMag",-0.950011569583333,-0.961164053958333
"LAYING",2,"tGravityAcc",0.296539093611111,-0.977152241597222
"LAYING",2,"tGravityAccMag",-0.977435485208333,-0.972873912916667
"LAYING",3,"fBodyAcc",-0.970055911182796,-0.970354937795699
"LAYING",3,"fBodyAccJerk",-0.976129220107527,-0.979292844462366
"LAYING",3,"fBodyAccMag",-0.96552427516129,-0.968350217419355
"LAYING",3,"fBodyBodyAccJerkMag",-0.975949597903226,-0.975305377903226
"LAYING",3,"fBodyBodyGyroJerkMag",-0.984278251290323,-0.982568158064516
"LAYING",3,"fBodyBodyGyroMag",-0.96458672483871,-0.955441855806452
"LAYING",3,"fBodyGyro",-0.970202968655914,-0.973425261129032
"LAYING",3,"tBodyAcc",0.0517535655768817,-0.969508406182796
"LAYING",3,"tBodyAccJerk",0.0288096516559113,-0.977227734139785
"LAYING",3,"tBodyAccJerkMag",-0.979484593387097,-0.976121297903226
"LAYING",3,"tBodyAccMag",-0.972791346129032,-0.964218176451613
"LAYING",3,"tBodyGyro",0.0151105970454301,-0.971774671612903
"LAYING",3,"tBodyGyroJerk",-0.0692518484569892,-0.983476555483871
"LAYING",3,"tBodyGyroJerkMag",-0.98671362516129,-0.983139255645161
"LAYING",3,"tBodyGyroMag",-0.951564751451613,-0.954275110967742
"LAYING",3,"tGravityAcc",0.361325602258065,-0.976174162204301
"LAYING",3,"tGravityAccMag",-0.972791346129032,-0.964218176451613
"LAYING",4,"fBodyAcc",-0.955063243641975,-0.953666768950617
"LAYING",4,"fBodyAccJerk",-0.965965258024691,-0.968235803518519
"LAYING",4,"fBodyAccMag",-0.939389701296296,-0.937187975962963
"LAYING",4,"fBodyBodyAccJerkMag",-0.96228712537037,-0.958037119259259
"LAYING",4,"fBodyBodyGyroJerkMag",-0.983609073333333,-0.982543631666667
"LAYING",4,"fBodyBodyGyroMag",-0.961556660185185,-0.947100325185185
"LAYING",4,"fBodyGyro",-0.966956946049383,-0.965694902098765
"LAYING",4,"tBodyAcc",0.045955960187037,-0.95285836537037
"LAYING",4,"tBodyAccJerk",0.0313240035433519,-0.966341417901235
"LAYING",4,"tBodyAccJerkMag",-0.970095771666667,-0.960786430740741
"LAYING",4,"tBodyAccMag",-0.954557603148148,-0.931292216611111
"LAYING",4,"tBodyGyro",0.0224920075148148,-0.965428489691358
"LAYING",4,"tBodyGyroJerk",-0.0714528499135803,-0.981974731296296
"LAYING",4,"tBodyGyroJerkMag",-0.985068502037037,-0.982698213703704
"LAYING",4,"tBodyGyroMag",-0.930236462592593,-0.947031781666667
"LAYING",4,"tGravityAcc",0.278677250864198,-0.955731070185185
"LAYING",4,"tGravityAccMag",-0.954557603148148,-0.931292216611111
"LAYING",5,"fBodyAcc",-0.970389641346154,-0.967915090512821
"LAYING",5,"fBodyAccJerk",-0.977089510897436,-0.979334483141026
"LAYING",5,"fBodyAccMag",-0.962234984038462,-0.962525369423077
"LAYING",5,"fBodyBodyAccJerkMag",-0.977356379807692,-0.976381934807692
"LAYING",5,"fBodyBodyGyroJerkMag",-0.984618025769231,-0.983434493076923
"LAYING",5,"fBodyBodyGyroMag",-0.968257068846154,-0.959263063269231
"LAYING",5,"fBodyGyro",-0.972416695320513,-0.973756436282051
"LAYING",5,"tBodyAcc",0.0506975031923077,-0.96793087974359
"LAYING",5,"tBodyAccJerk",0.0297501397075641,-0.977762553846154
"LAYING",5,"tBodyAccJerkMag",-0.980141253846154,-0.977477145384615
"LAYING",5,"tBodyAccMag",-0.966777882884615,-0.958612786346154
"LAYING",5,"tBodyGyro",0.0193766353255769,-0.972503284679487
"LAYING",5,"tBodyGyroJerk",-0.0711299287596154,-0.985620443076923
"LAYING",5,"tBodyGyroJerkMag",-0.9864194225,-0.98377138
"LAYING",5,"tBodyGyroMag",-0.946938300576923,-0.958287921923077
"LAYING",5,"tGravityAcc",0.245021480128205,-0.969578678333333
"LAYING",5,"tGravityAccMag",-0.966777882884615,-0.958612786346154
"LAYING",6,"fBodyAcc",-0.933621985964912,-0.92872630327076
"LAYING",6,"fBodyAccJerk",-0.952513900584795,-0.955968051052632
"LAYING",6,"fBodyAccMag",-0.91235165222807,-0.905373979824561
"LAYING",6,"fBodyBodyAccJerkMag",-0.948655471052632,-0.951552664035088
"LAYING",6,"fBodyBodyGyroJerkMag",-0.953695957368421,-0.955504654561404
"LAYING",6,"fBodyBodyGyroMag",-0.930153639473684,-0.928694890175439
"LAYING",6,"fBodyGyro",-0.936615975614035,-0.951555616959064
"LAYING",6,"tBodyAcc",0.0350946775719298,-0.927970116263158
"LAYING",6,"tBodyAccJerk",0.0328303586681871,-0.953220534795322
"LAYING",6,"tBodyAccJerkMag",-0.954750504912281,-0.950341934385965
"LAYING",6,"tBodyAccMag",-0.918878850824561,-0.897326245964912
"LAYING",6,"tBodyGyro",0.0213077468385965,-0.946051684385965
"LAYING",6,"tBodyGyroJerk",-0.0751517293389474,-0.952606499824561
"LAYING",6,"tBodyGyroJerkMag",-0.955645738245614,-0.953157001578947
"LAYING",6,"tBodyGyroMag",-0.908980174736842,-0.920914497017544
"LAYING",6,"tGravityAcc",0.21858388148655,-0.925013001754386
"LAYING",6,"tGravityAccMag",-0.918878850824561,-0.897326245964912
"LAYING",7,"fBodyAcc",-0.951409948012821,-0.935806376410256
